marketHashName_used,rarity_en,case_name_en,price,platform,status,name,market_hash_name,exterior,series,tier
,Gold,Winter Offensive Weapon Case,,all,,,,,,
SG 553 | Cyberforce (Battle-Scarred),Mil-Spec,Revolution Case,0.4,YOUPIN,200.0,,,,,
SG 553 | Cyberforce (Battle-Scarred),Mil-Spec,Revolution Case,0.41,BUFF,200.0,,,,,
SG 553 | Cyberforce (Battle-Scarred),Mil-Spec,Revolution Case,0.46,C5,200.0,,,,,
SG 553 | Cyberforce (Battle-Scarred),Mil-Spec,Revolution Case,0.99,STEAM,200.0,,,,,
SG 553 | Cyberforce (Battle-Scarred),Mil-Spec,Revolution Case,0.5,HALOSKINS,200.0,,,,,
,,,16.87,C5,,Galil AR | Connexion,Galil AR | Connexion (Factory New),Factory New,Fracture Case,Restricted
,,,18.75,HALOSKINS,,Galil AR | Connexion,Galil AR | Connexion (Factory New),Factory New,Fracture Case,Restricted
,,,16.4,Buff,,Galil AR | Connexion,Galil AR | Connexion (Factory New),Factory New,Fracture Case,Restricted
,,,15.79,YOUPIN,,Galil AR | Connexion,Galil AR | Connexion (Factory New),Factory New,Fracture Case,Restricted
,,,23.94,Steam,,Galil AR | Connexion,Galil AR | Connexion (Factory New),Factory New,Fracture Case,Restricted
,,,5.2,C5,,Galil AR | Connexion,Galil AR | Connexion (Minimal Wear),Minimal Wear,Fracture Case,Restricted
,,,5.0,YOUPIN,,Galil AR | Connexion,Galil AR | Connexion (Minimal Wear),Minimal Wear,Fracture Case,Restricted
,,,5.68,Buff,,Galil AR | Connexion,Galil AR | Connexion (Minimal Wear),Minimal Wear,Fracture Case,Restricted
,,,7.98,Steam,,Galil AR | Connexion,Galil AR | Connexion (Minimal Wear),Minimal Wear,Fracture Case,Restricted
,,,5.42,HALOSKINS,,Galil AR | Connexion,Galil AR | Connexion (Minimal Wear),Minimal Wear,Fracture Case,Restricted
,,,2.76,C5,,Galil AR | Connexion,Galil AR | Connexion (Field-Tested),Field-Tested,Fracture Case,Restricted
,,,2.82,YOUPIN,,Galil AR | Connexion,Galil AR | Connexion (Field-Tested),Field-Tested,Fracture Case,Restricted
,,,2.93,HALOSKINS,,Galil AR | Connexion,Galil AR | Connexion (Field-Tested),Field-Tested,Fracture Case,Restricted
,,,4.7,Steam,,Galil AR | Connexion,Galil AR | Connexion (Field-Tested),Field-Tested,Fracture Case,Restricted
,,,2.69,Buff,,Galil AR | Connexion,Galil AR | Connexion (Field-Tested),Field-Tested,Fracture Case,Restricted
,,,3.0,Buff,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,3.6,C5,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,2.8,YOUPIN,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,5.06,Steam,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,6.56,HALOSKINS,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,2.81,C5,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,2.78,YOUPIN,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,2.66,Buff,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,4.06,Steam,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,3.0,HALOSKINS,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,2837.48,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,2820.0,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,2953.55,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,2927.99,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,3881.72,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,552.65,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,545.0,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,548.9,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,575.36,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,717.41,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,245.7,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,236.0,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,230.0,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,238.0,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,348.97,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,215.0,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,218.0,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,214.5,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,223.82,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,303.35,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,216.5,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,208.0,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,195.0,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,303.43,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,225.39,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,12.8,Buff,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
,,,13.0,YOUPIN,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
,,,22.95,Steam,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
,,,14.0,C5,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
